Label ID, Label Name, Link
1535866, Haŵs, https://www.discogs.com/label/1535866-Ha%C5%B5s
74832, Insectorama, https://www.discogs.com/label/74832-Insectorama
50166, Innervisions, https://www.discogs.com/label/50166-Innervisions
1, Planet E, https://www.discogs.com/label/1-Planet-E
2, Earthtones Recordings, https://www.discogs.com/label/2-Earthtones-Recordings
3, Seasons Recordings, https://www.discogs.com/label/3-Seasons-Recordings
4, Siesta Music, https://www.discogs.com/label/4-Siesta-Music
5, Svek, https://www.discogs.com/label/5-Svek
6, Ruffhouse Records, https://www.discogs.com/label/6-Ruffhouse-Records
605646, D.KO Records, https://www.discogs.com/label/605646-DKO-Records
7780, Mathematics Recordings, https://www.discogs.com/label/7780-Mathematics-Recordings
77343, Sub Pop, https://www.discogs.com/label/77343-Sub-Pop
1643995, Rush Hour, https://www.discogs.com/label/1643995-Rush-Hour-4
83572, Favorite Recordings, https://www.discogs.com/label/83572-Favorite-Recordings
254235, Local Talk, https://www.discogs.com/label/254235-Local-Talk
684708, Sushitech Records, https://www.discogs.com/label/684708-Sushitech-Records
57092, Sushitech Purple, https://www.discogs.com/label/57092-Sushitech-Purple
67153, Pariter, https://www.discogs.com/label/67153-Pariter
175727, Little Helpers, https://www.discogs.com/label/175727-Little-Helpers
192936, Hot Creations, https://www.discogs.com/label/192936-Hot-Creations
1228, Adult Only, https://www.discogs.com/label/1228-Adult-Only
620363, Moss Co, https://www.discogs.com/label/620363-Moss-Co
192723, Moscow Records, https://www.discogs.com/label/192723-Moscow-Records
89598, Silent Season, https://www.discogs.com/label/89598-Silent-Season
152686, Composite Records, https://www.discogs.com/label/152686-Composite-Records-2
1592346, Hashtek23 Records, https://www.discogs.com/label/1592346-Hashtek23-Records
41679, Mobilee, https://www.discogs.com/label/41679-Mobilee
260689, Rawax, https://www.discogs.com/label/260689-Rawax
190388, Houseworx, https://www.discogs.com/label/190388-Houseworx
270083, DBH Music, https://www.discogs.com/label/270083-DBH-Music
34708, Dirtybird, https://www.discogs.com/label/34708-Dirtybird
159295, Mord, https://www.discogs.com/label/159295-Mord
18, Soma Quality Recordings, https://www.discogs.com/label/18-Soma-Quality-Recordings
1411307, EYA Records, https://www.discogs.com/label/1411307-EYA-Records
905389, PIV Records, https://www.discogs.com/label/905389-PIV-Records
312905, Phonogramme, https://www.discogs.com/label/312905-Phonogramme
75213, Syncrophone Recordings, https://www.discogs.com/label/75213-Syncrophone-Recordings
74957, Syncrophone, https://www.discogs.com/label/74957-Syncrophone
165903, Leaving Records, https://www.discogs.com/label/165903-Leaving-Records
2943, Le Petit Prince, https://www.discogs.com/label/2943-Le-Petit-Prince
116373, Gondwana Records, https://www.discogs.com/label/116373-Gondwana-Records
14, F Communications, https://www.discogs.com/label/14-F-Communications
683009, LumièresLaNuit, https://www.discogs.com/label/683009-Lumi%C3%A8resLaNuit
118, Talkin' Loud, https://www.discogs.com/label/118-Talkin-Loud
886812, Hostom, https://www.discogs.com/label/886812-Hostom
211, People, https://www.discogs.com/label/211-People
921893, Safe Trip, https://www.discogs.com/label/921893-Safe-Trip
864938, Diffuse Reality, https://www.discogs.com/label/864938-Diffuse-Reality
1764, Gossip Records, https://www.discogs.com/label/1764-Gossip-Records
688, DJ International Records, https://www.discogs.com/label/688-DJ-International-Records
1394, Work Records, https://www.discogs.com/label/1394-Work-Records
2176, Mo'Bizz Recordings, https://www.discogs.com/label/2176-MoBizz-Recordings
7785, ZE Records, https://www.discogs.com/label/7785-ZE-Records
170306, All Inn Records, https://www.discogs.com/label/170306-All-Inn-Records
261832, 4Disco Records, https://www.discogs.com/label/261832-4Disco-Records
906556, OOH-sounds, https://www.discogs.com/label/906556-OOH-sounds
187780, Cruise Music, https://www.discogs.com/label/187780-Cruise-Music
324, Henry Street Music, https://www.discogs.com/label/324-Henry-Street-Music
609, Strictly Rhythm, https://www.discogs.com/label/609-Strictly-Rhythm
2179, Locked On, https://www.discogs.com/label/2179-Locked-On
22430, Blackground Records, https://www.discogs.com/label/22430-Blackground-Records
4212, Ice Cream Records, https://www.discogs.com/label/4212-Ice-Cream-Records
39, i! Records, https://www.discogs.com/label/39-i!-Records
6985, Empire State Records, https://www.discogs.com/label/6985-Empire-State-Records
723, Soulfuric Recordings, https://www.discogs.com/label/723-Soulfuric-Recordings
13941, Soulfuric Deep, https://www.discogs.com/label/13941-Soulfuric-Deep
6704, Soulfuric Trax, https://www.discogs.com/label/6704-Soulfuric-Trax
267, Trax Records, https://www.discogs.com/label/267-Trax-Records
6360, Space Teddy, https://www.discogs.com/label/6360-Space-Teddy
312, Subliminal, https://www.discogs.com/label/312-Subliminal
775, Bambossa, https://www.discogs.com/label/775-Bambossa-Records
289459, Mega Platinum Music, https://www.discogs.com/label/289459-Mega-Platinum-Music
1088, Sondos, https://www.discogs.com/label/1088-Sondos
3644, Gusto Records, https://www.discogs.com/label/3644-Gusto-Records
168364, Fabric Records, https://www.discogs.com/label/168364-Fabric-Records
1115422, Fabric (2), https://www.discogs.com/label/1115422-Fabric-2
1115423, Fabric (3), https://www.discogs.com/label/1115423-Fabric-3
509824, Houndstooth, https://www.discogs.com/label/509824-Houndstooth
78794, Klockworks, https://www.discogs.com/label/78794-Klockworks
11668, Battle Axe Records, https://www.discogs.com/label/11668-Battle-Axe-Records
10, Naked Music Recordings, https://www.discogs.com/label/10-Naked-Music-Recordings
25167, ITH Records, https://www.discogs.com/label/25167-ITH-Records
297, FFRR, https://www.discogs.com/label/297-FFRR
5643, Disco Galaxy Recordings, https://www.discogs.com/label/5643-Disco-Galaxy-Recordings
1840, Vendetta Records, https://www.discogs.com/label/1840-Vendetta-Records
1213, Strut, https://www.discogs.com/label/1213-Strut
47539, Hypnotize Minds, https://www.discogs.com/label/47539-Hypnotize-Minds
940, Multiply Records, https://www.discogs.com/label/940-Multiply-Records
19764, No Limit Records, https://www.discogs.com/label/19764-No-Limit-Records
19735, Rap-A-Lot Records, https://www.discogs.com/label/19735-Rap-A-Lot-Records
2715, Priority Records,https://www.discogs.com/label/2715-Priority-Records
1413, Data Records, https://www.discogs.com/label/1413-Data-Records
1195686, 4 To The Floor, https://www.discogs.com/label/1195686-4-To-The-Floor-2
555650, DFTD, https://www.discogs.com/label/555650-DFTD
1793, Fluential, https://www.discogs.com/label/1793-Fluential
954868, Glitterbox, https://www.discogs.com/label/954868-Glitterbox
602, Slip 'n' Slide, https://www.discogs.com/label/602-Slip-n-Slide
608, Nu Groove Records, https://www.discogs.com/label/608-Nu-Groove-Records
97958, Sumerian Records, https://www.discogs.com/label/97958-Sumerian-Records
55318, BAR25, https://www.discogs.com/label/55318-BAR25
1418598, Ouïe, https://www.discogs.com/label/1418598-Ou%C3%AFe
181641, Apparel Music, https://www.discogs.com/label/181641-Apparel-Music
8847, Get Physical Music, https://www.discogs.com/label/8847-Get-Physical-Music
1740, Moon Harbour Recordings, https://www.discogs.com/label/1740-Moon-Harbour-Recordings
1148126, Peach Discs, https://www.discogs.com/label/1148126-Peach-Discs
182493, Mono-Tone Records, https://www.discogs.com/label/182493-Mono-Tone-Records
3892, Mono Tone, https://www.discogs.com/label/3892-Mono-Tone
32742, Polyphonics Recordings, https://www.discogs.com/label/32742-Polyphonics-Recordings
8321, SuSU, https://www.discogs.com/label/8321-SuSU
2480, Holographic, https://www.discogs.com/label/2480-Holographic
7986, Renaissance Recordings, https://www.discogs.com/label/7986-Renaissance-Recordings
1090, Renaissance, https://www.discogs.com/label/1090-Renaissance
65293, Hed Kandi, https://www.discogs.com/label/65293-Hed-Kandi
1924122, We're Going Deep, https://www.discogs.com/label/1924122-Were-Going-Deep
143584, LoveZone Records, https://www.discogs.com/label/143584-LoveZone-Records
1035758, Be Adult Music, https://www.discogs.com/label/1035758-Be-Adult-Music
74889, 8bit Records, https://www.discogs.com/label/74889-8bit-Records
512471, Melting Bot, https://www.discogs.com/label/512471-Melting-Bot
256418, Scissor and Thread, https://www.discogs.com/label/256418-Scissor-and-Thread
21, Drop Music, https://www.discogs.com/label/21-Drop-Music
745621, Banoffee Pies, https://www.discogs.com/label/745621-Banoffee-Pies
697413, Voyage Recordings, https://www.discogs.com/label/697413-Voyage-Recordings
1312690, Honey Butter Records, https://www.discogs.com/label/1312690-Honey-Butter-Records
13135, Dallas Records, https://www.discogs.com/label/13135-Dallas-Records
7972, Comatonse Recordings, https://www.discogs.com/label/7972-Comatonse-Recordings
619617, Brokntoys, https://www.discogs.com/label/619617-Brokntoys
1020085, Subwax Distribution, https://www.discogs.com/label/1020085-Subwax-Distribution
271342, Boiler Room, https://www.discogs.com/label/271342-Boiler-Room
290686, Dig Dis!, https://www.discogs.com/label/290686-Dig-Dis!
2591329, Mind Music, https://www.discogs.com/label/2591329-Mind-Music-5
1653270, Gemini Wax Records, https://www.discogs.com/label/1653270-Gemini-Wax-Records
202407, Sincopat, https://www.discogs.com/label/202407-Sincopat
19465, Beat Code, https://www.discogs.com/label/19465-Beat-Code
