yt_channel_id (S),yt_published_at (S),yt_track_id (S),yt_track_name (S),spotify_found_time (S),spotify_playlist (S),spotify_uri (S)
UCL4J20Y1UpQGttcNXMB2j9Q,2019-12-13T18:36:41.000Z,MTUxNTc2MjYyMjAxNDk4MzIxODQ5ODQ5NzY=,Aphex Twin - Delphium (1992),2019-12-13T20:02:52.058488+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:54avYgPIdqFI59mW91E0Sf
UCL4J20Y1UpQGttcNXMB2j9Q,2019-12-20T18:46:10.000Z,MTUxNTc2ODY3NTcwMjk3NTY0ODc2NDAyNzI=,Silverlining - Pearl Divers (1996),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2019-12-25T19:34:37.000Z,MTUxNTc3MzAyNDc3NTA3ODc4Mjk1NjIzMjA=,Full Moon Fashions - Happy Shades (1995),2019-12-26T14:58:45.641678+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:5q4UfJSyq4Zgcpjy5I2wu2
UCL4J20Y1UpQGttcNXMB2j9Q,2019-12-29T18:55:14.000Z,MTUxNTc3NjQ1NzE0MzI1NDgzMzQzMTQwNjQ=,Redeye - A Source (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-01-01T17:39:21.000Z,MTUxNTc3OTAwMzYxNDI4NTA2OTEzMjMyMTY=,"InnVision - Lake (1994, unreleased)",,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-01-12T17:16:56.000Z,MTUxNTc4ODQ5NDE2MjY3OTE5MDI3OTg5Mjg=,Dave Angel - Original Man (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-01-19T17:17:57.000Z,MTUxNTc5NDU0Mjc3NTIwNjY2NzkzNzY3MjA=,Rejuvination - I.B.O. (1991),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-01-22T19:16:49.000Z,MTUxNTc5NzIwNjA5MzQ3OTk3NjMwNDM2NjQ=,"The Shamen - Hyperreal (1990, video)",,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-01-24T18:41:12.000Z,MTUxNTc5ODkxMjcyNTIxODkxMzY2OTI4ODA=,Stevie Be Zet - Blue Illusion (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-01-31T18:21:45.000Z,MTUxNTgwNDk0OTA1MzQ0OTA2NTg2MzQyNTY=,Jori Hulkkonen - You Don't Belong Here (1998),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-02-02T17:05:03.000Z,MTUxNTgwNjYzMTAzMjM3OTMwOTA4Mzk4ODg=,Young American Primitive - Sunrise (1992),2020-02-03T13:43:45.935407+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:5NAdQrq20ragXrcQU22Hrf
UCL4J20Y1UpQGttcNXMB2j9Q,2020-02-06T18:53:49.000Z,MTUxNTgxMDE1MjI5MTQ1ODk4MTY3MjM3Mjg=,Dave Angel - Abyss (hypnotic Re-byss),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2020-02-09T16:24:32.000Z,MTUxNTgxMjY1NDcyMzE5MTY3OTU0MjY1NzY=,As One - Amalia (1992),2020-02-10T19:43:44.915227+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:79ngMTgKzfmwLFNEqHtN6K
